brand;model;generation;version;productionYear;mileage;enginePowerKW;engineCapacity;bodyType;bodyTypeText;fuelType;fuelTypeText;price;currency
Mini;Countryman;Inny;Inny;2023;7000.0;100.0;1499.0;SUV;SUV;GASOLINE;Benzyna;140500;PLN
Volkswagen;Tiguan;Inny;Inny;2023;34773.0;110.0;1498.0;SUV;SUV;GASOLINE;Benzyna;123492;PLN
Ford;C-MAX;Inny;Inny;2012;22000.0;85.0;1600.0;MINIVAN;Minivan;OTHER;Inny;27000;PLN
Citroen;C1;Inny;Inny;2009;150000.0;50.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;18700;PLN
Toyota;Yaris;Inny;Inny;2017;130790.0;55.0;1497.0;HATCHBACK;Hatchback;HYBRID;Hybrydowy;34700;PLN
Volkswagen;Polo;Polo V;GTI 1.4 TSI (180 KM) DSG 5-dr;2015;198000.0;110.0;1395.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;39999;PLN
Ford;Fiesta;Fiesta VIII (Mk8) 3 Door;1.1 Ti-VCT (75 KM);2018;69970.0;;1084.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;52500;PLN
Toyota;Yaris;Inny;Inny;2019;43569.0;55.0;1497.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;63900;PLN
Citroen;C4;C4 Cactus (Phase I, 2014);1.6 BlueHDi (99 KM) S&S EGS;2016;180000.0;73.0;1560.0;CROSSOVER;Crossover;DIESEL;Diesel;32900;PLN
Opel;Mokka;Inny;Inny;2016;47000.0;112.0;1399.0;SUV;SUV;GASOLINE;Benzyna;64900;PLN
Opel;Mokka;Inny;Inny;2016;70000.0;103.0;1364.0;SUV;SUV;GASOLINE;Benzyna;52900;PLN
Seat;Leon;Leon III;Inny;2016;57000.0;92.0;1395.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;54000;PLN
Kia;stonicgt;Inny;Inny;2024;310.0;73.0;1000.0;SUV;SUV;GASOLINE;Benzyna;99900;PLN
Kia;xceedm;Inny;Inny;2024;20.0;117.0;1500.0;SUV;SUV;GASOLINE;Benzyna;106900;PLN
Peugeot;208;208 II;e-208 50 kWh (136 KM);2021;70550.0;100.0;0.0;HATCHBACK;Hatchback;EV;Elektryczny;38800;PLN
BMW;Seria 1;Inny;Inny;2015;264761.0;105.0;1995.0;HATCHBACK;Hatchback;DIESEL;Diesel;34700;PLN
Volkswagen;Sharan;Inny;Inny;2013;50000.0;103.0;2000.0;MINIVAN;Minivan;DIESEL;Diesel;64000;PLN
Toyota;Yaris;Yaris II;1.0 i VVT-i (69 KM);2006;240000.0;50.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;5000;PLN
Renault;Kadjar;Kadjar (facelift 2018);1.5 Blue dCi (116 KM) EDC;2019;175.0;85.0;1500.0;SUV;SUV;DIESEL;Diesel;49999;PLN
Peugeot;408;Inny;Inny;2024;0.0;132.0;1600.0;LIFTBACK;Liftback;HYBRID;Hybrydowy;193900;PLN
Volkswagen;Transporter;Inny;Inny;2017;265000.0;110.0;1968.0;MINIVAN;Minivan;DIESEL;Diesel;85000;PLN
Hyundai;Tucson;Inny;Inny;2024;6.0;110.0;1598.0;SUV;SUV;GASOLINE;Benzyna;137600;PLN
Ford;Focus;Focus II Hatchback;1.8 TDCi (116 KM);2006;182542.0;;1753.0;HATCHBACK;Hatchback;DIESEL;Diesel;3800;PLN
Seat;Altea;Inny;Inny;2015;91500.0;77.0;1197.0;OTHER;Nieznany;GASOLINE;Benzyna;26900;PLN
Ford;Edge;Inny;Inny;2016;160000.0;154.0;1997.0;SUV;SUV;DIESEL;Diesel;89900;PLN
Renault;Seria T;Inny;Inny;2019;605835.0;330.0;12777.0;OTHER;Nieznany;DIESEL;Diesel;95495;PLN
Audi;A3;A3 (8V);Inny;2016;108000.0;162.0;1984.0;SEDAN;Sedan;GASOLINE;Benzyna;71500;PLN
Hyundai;ix35;Inny;Inny;2012;121490.0;99.0;1591.0;SUV;SUV;GASOLINE;Benzyna;37900;PLN
Ford;Focus;Inny;Inny;2020;196982.0;88.0;1499.0;OTHER;Nieznany;DIESEL;Diesel;24182;EUR
Fiat;Stilo;Stilo (5-door, facelift 2006);1.9 Multijet (120 KM);2006;350000.0;88.0;1900.0;HATCHBACK;Hatchback;DIESEL;Diesel;3980;PLN
Hyundai;Tucson;Inny;Inny;2020;32000.0;115.0;1999.0;SUV;SUV;GASOLINE;Benzyna;94500;PLN
Audi;A3;Inny;Inny;2014;183186.0;132.0;1798.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;53900;PLN
Nissan;Qashqai;Qashqai I (J10, facelift 2010);1.5 dCi (110 KM);2012;186.0;81.0;1500.0;SUV;SUV;DIESEL;Diesel;32500;PLN
Peugeot;Boxer;Inny;Inny;2021;141300.0;103.0;2200.0;OTHER;Nieznany;DIESEL;Diesel;89900;PLN
Volkswagen;Golf;Inny;Inny;2022;46000.0;81.0;999.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;79900;PLN
Ford;Tourneo Custom;Tourneo Custom L2;Inny;2016;258340.0;125.0;1995.0;SUV;SUV;DIESEL;Diesel;58800;PLN
Audi;Q2;Inny;Inny;2022;6252.0;110.0;1500.0;SUV;SUV;GASOLINE;Benzyna;119900;PLN
Volkswagen;Touran;Inny;Inny;2011;170000.0;77.0;1598.0;MINIVAN;Minivan;DIESEL;Diesel;33900;PLN
Citroen;C1;C1 I (Phase I, 2005 3-door);1.0i (68 KM);2011;157000.0;50.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;9900;PLN
Toyota;Prius;Prius III (ZVW30);1.8 VVT-i (136 KM) Hybrid CVT;2013;233000.0;100.0;1800.0;HATCHBACK;Hatchback;LPG;LPG;40000;PLN
Opel;Insignia;Inny;Inny;2012;260000.0;118.0;1956.0;KOMBI;Kombi;DIESEL;Diesel;25900;PLN
Peugeot;Rifter;Rifter Standard;1.2 PureTech (110 KM) S&S;2019;69500.0;81.0;1200.0;MINIVAN;Minivan;OTHER;Inny;64500;PLN
Volkswagen;Golf;Golf V;1.4 FSI (90 KM);2004;212.0;66.0;1400.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;10200;PLN
Renault;Laguna;Inny;Inny;2007;202000.0;81.0;1461.0;HATCHBACK;Hatchback;DIESEL;Diesel;12599;PLN
Seat;Ibiza;Ibiza III;1.4 16V (75 KM);2006;256000.0;55.0;1400.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;8733;PLN
Toyota;Aygo X;Inny;Inny;2022;27300.0;53.0;998.0;OTHER;Nieznany;GASOLINE;Benzyna;54900;PLN
Hyundai;Santa Fe;Inny;Inny;2013;283168.0;145.0;2199.0;OTHER;Nieznany;DIESEL;Diesel;7000;PLN
Volkswagen;Arteon;Arteon;2.0 TSI (190 KM) DSG;2019;140000.0;140.0;1998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;125000;PLN
Opel;Tigra;Inny;Inny;2004;173000.0;55.0;1390.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;6900;PLN
BMW;X7;Inny;Inny;2022;44932.0;250.0;2993.0;SUV;SUV;DIESEL;Diesel;390992;PLN
Audi;A4;A4 (B8 8K, facelift 2011);2.0 TFSI (211 KM) quattro;2012;205000.0;155.0;1998.0;SEDAN;Sedan;GASOLINE;Benzyna;40000;PLN
Renault;Trafic;Inny;Inny;2006;232000.0;99.0;2463.0;OTHER;Nieznany;DIESEL;Diesel;13900;PLN
Nissan;X-Trail;Inny;Inny;2021;90575.0;118.0;1332.0;SUV;SUV;GASOLINE;Benzyna;88700;PLN
Mazda;CX-5;CX-5 II;2.5 SKYACTIV-G (194 KM) AWD Automatic;2018;109000.0;104.0;2488.0;SUV;SUV;GASOLINE;Benzyna;94800;PLN
Inny;Inny;Inny;Inny;2019;464.0;4.0;0.0;OTHER;Nieznany;EV;Elektryczny;26999;PLN
Peugeot;3008;Inny;Inny;2017;141303.0;96.0;1199.0;SUV;SUV;GASOLINE;Benzyna;39600;PLN
Suzuki;GSX;Inny;Inny;2001;51603.0;63.0;599.0;TOURISTIC;Turystyczny;GASOLINE;Benzyna;4500;PLN
Mitsubishi;ASX;ASX;1.6 DOHC MIVEC (117 KM) 2WD;2011;220000.0;86.0;1600.0;SUV;SUV;GASOLINE;Benzyna;31900;PLN
Renault;Espace;Inny;Inny;2019;103000.0;118.0;1997.0;MINIVAN;Minivan;DIESEL;Diesel;92250;PLN
Hyundai;ix20;ix20 (facelift 2015);1.4i (90 KM);2016;156000.0;66.0;1396.0;HATCHBACK;Hatchback;DIESEL;Diesel;16900;PLN
Kia;Ceed;Inny;Inny;2023;41716.0;117.0;1500.0;KOMBI;Kombi;GASOLINE;Benzyna;89800;PLN
Kia;Sportage;Inny;Inny;2009;192000.0;103.0;1998.0;SUV;SUV;GASOLINE;Benzyna;25900;PLN
Opel;Astra;Inny;Inny;2010;240000.0;85.0;1598.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;24900;PLN
Ford;Focus;Inny;Inny;2005;293000.0;107.0;1999.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;6999;PLN
Renault;Kadjar;Kadjar;1.6 Energy dCi (130 KM) 4WD;2017;85223.0;96.0;1598.0;SUV;SUV;DIESEL;Diesel;12500;PLN
Ford;EcoSport;EcoSport II;Inny;2015;93500.0;92.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;37900;PLN
SsangYong;Tivoli;Inny;Inny;2023;5700.0;120.0;1497.0;SUV;SUV;GASOLINE;Benzyna;108300;PLN
Mercedes-Benz;CLS;CLS coupe (C257);CLS 450 (367 KM) EQ Boost 4MATIC G-TRONIC;2019;73000.0;270.0;3000.0;SEDAN;Sedan;HYBRID;Hybrydowy;155000;PLN
Opel;Vectra;Vectra C (facelift 2005);1.9 CDTI (150 KM);2007;379297.0;;1910.0;SEDAN;Sedan;DIESEL;Diesel;5800;PLN
Kawasaki;ER;Inny;Inny;2014;16700.0;37.0;650.0;NAKED;Naked;GASOLINE;Benzyna;17600;PLN
Toyota;Corolla;Inny;Inny;2021;55000.0;72.0;1800.0;HATCHBACK;Hatchback;LPG;LPG;83000;PLN
Renault;Seria T;Inny;Inny;2019;619417.0;330.0;12777.0;OTHER;Nieznany;DIESEL;Diesel;89232;PLN
Volkswagen;Golf;Golf VI (5-door);1.6 TDI (105 KM) BlueMotion;2011;315000.0;77.0;1599.0;KOMBI;Kombi;DIESEL;Diesel;15700;PLN
Citroen;C4 Grand Picasso;Inny;Inny;2016;203551.0;110.0;1997.0;MINIVAN;Minivan;DIESEL;Diesel;41700;PLN
Porsche;Macan;Inny;Inny;2019;38691.0;260.0;2995.0;SUV;SUV;GASOLINE;Benzyna;143372;EUR
Mercedes-Benz;Klasa C;Klasa C (W204 facelift 2011);C 200 CDI (136 KM);2012;150000.0;100.0;2143.0;SEDAN;Sedan;DIESEL;Diesel;44900;PLN
Renault;Talisman;Inny;Inny;2017;176000.0;96.0;1598.0;OTHER;Nieznany;DIESEL;Diesel;28500;PLN
